Year,Subtopic,Count
2005,"""4201 Allied Health and Rehabilitation Science""",1
2005,"""4202 Epidemiology""",1
2005,"""4203 Health Services and Systems""",2
2005,"""4206 Public Health""",3
2005,"""4301 Archaeology""",2
2005,"""4302 Heritage, Archive and Museum Studies""",2
2005,"""4303 Historical Studies""",6
2005,"""4402 Criminology""",1
2005,"""4403 Demography""",2
2005,"""4404 Development Studies""",1
2005,"""4405 Gender Studies""",1
2005,"""4406 Human Geography""",2
2005,"""4407 Policy and Administration""",2
2005,"""4408 Political Science""",2
2005,"""4605 Data Management and Data Science""",2
2005,"""4606 Distributed Computing and Systems Software""",1
2005,"""4608 Human-Centred Computing""",1
2005,"""4612 Software Engineering""",1
2005,"""4702 Cultural Studies""",1
2005,"""4703 Language Studies""",1
2005,"""4704 Linguistics""",1
2005,"""4705 Literary Studies""",5
2005,"""4802 Environmental and Resources Law""",1
2005,"""4803 International and Comparative Law""",1
2005,"""4804 Law In Context""",1
2005,"""4805 Legal Systems""",1
2005,"""4806 Private Law and Civil Obligations""",1
2005,"""4807 Public Law""",5
2005,"""4901 Applied Mathematics""",2
2005,"""4904 Pure Mathematics""",1
2005,"""4905 Statistics""",1
2005,"""5003 Philosophy""",1
2005,"""5005 Theology""",1
2005,"""5101 Astronomical Sciences""",1
2005,"""5102 Atomic, Molecular and Optical Physics""",1
2005,"""5106 Nuclear and Plasma Physics""",2
2005,"""5107 Particle and High Energy Physics""",1
2005,"""5110 Synchrotrons and Accelerators""",2
2006,"""3001 Agricultural Biotechnology""",2
2006,"""3006 Food Sciences""",2
2006,"""3007 Forestry Sciences""",1
2006,"""3008 Horticultural Production""",1
2006,"""3009 Veterinary Sciences""",2
2006,"""3101 Biochemistry and Cell Biology""",10
2006,"""3102 Bioinformatics and Computational Biology""",2
2006,"""3103 Ecology""",1
2006,"""3104 Evolutionary Biology""",1
2006,"""3105 Genetics""",9
2006,"""3106 Industrial Biotechnology""",1
2006,"""3107 Microbiology""",1
2006,"""3201 Cardiovascular Medicine and Haematology""",3
2006,"""3202 Clinical Sciences""",4
2006,"""3204 Immunology""",1
2006,"""3205 Medical Biochemistry and Metabolomics""",1
2006,"""3206 Medical Biotechnology""",1
2006,"""3207 Medical Microbiology""",1
2006,"""3208 Medical Physiology""",1
2006,"""3211 Oncology and Carcinogenesis""",3
2006,"""3214 Pharmacology and Pharmaceutical Sciences""",1
2006,"""3215 Reproductive Medicine""",1
2006,"""3303 Design""",1
2006,"""3304 Urban and Regional Planning""",1
2006,"""3401 Analytical Chemistry""",1
2006,"""3402 Inorganic Chemistry""",1
2006,"""3403 Macromolecular and Materials Chemistry""",5
2006,"""3404 Medicinal and Biomolecular Chemistry""",1
2006,"""3406 Physical Chemistry""",1
2006,"""3407 Theoretical and Computational Chemistry""",1
2006,"""3502 Banking, Finance and Investment""",2
2006,"""3504 Commercial Services""",1
2006,"""3505 Human Resources and Industrial Relations""",2
2006,"""3506 Marketing""",1
2006,"""3507 Strategy, Management and Organisational Behaviour""",3
2006,"""3508 Tourism""",1
2006,"""3509 Transportation, Logistics and Supply Chains""",1
2006,"""3605 Screen and Digital Media""",1
2006,"""3705 Geology""",3
2006,"""3706 Geophysics""",1
2006,"""3707 Hydrology""",1
2006,"""3801 Applied Economics""",2
2006,"""4001 Aerospace Engineering""",2
2006,"""4003 Biomedical Engineering""",2
2006,"""4005 Civil Engineering""",1
2006,"""4007 Control Engineering, Mechatronics and Robotics""",1
2006,"""4008 Electrical Engineering""",1
2006,"""4009 Electronics, Sensors and Digital Hardware""",1
2006,"""4010 Engineering Practice and Education""",1
2006,"""4012 Fluid Mechanics and Thermal Engineering""",1
2006,"""4016 Materials Engineering""",3
2006,"""4102 Ecological Applications""",1
2006,"""4103 Environmental Biotechnology""",1
2006,"""4105 Pollution and Contamination""",3
2006,"""4203 Health Services and Systems""",2
2006,"""4204 Midwifery""",1
2006,"""4206 Public Health""",2
2006,"""4301 Archaeology""",1
2006,"""4302 Heritage, Archive and Museum Studies""",3
2006,"""4303 Historical Studies""",3
2006,"""4403 Demography""",1
2006,"""4405 Gender Studies""",2
2006,"""4406 Human Geography""",3
2006,"""4407 Policy and Administration""",5
2006,"""4408 Political Science""",4
2006,"""4409 Social Work""",1
2006,"""4601 Applied Computing""",1
2006,"""4603 Computer Vision and Multimedia Computation""",2
2006,"""4604 Cybersecurity and Privacy""",1
2006,"""4606 Distributed Computing and Systems Software""",1
2006,"""4608 Human-Centred Computing""",1
2006,"""4609 Information Systems""",1
2006,"""4702 Cultural Studies""",2
2006,"""4703 Language Studies""",1
2006,"""4801 Commercial Law""",1
2006,"""4804 Law In Context""",1
2006,"""4806 Private Law and Civil Obligations""",1
2006,"""4807 Public Law""",1
2006,"""4901 Applied Mathematics""",5
2006,"""4904 Pure Mathematics""",4
2006,"""4905 Statistics""",2
2006,"""5003 Philosophy""",2
2006,"""5106 Nuclear and Plasma Physics""",3
2006,"""5107 Particle and High Energy Physics""",1
2006,"""5108 Quantum Physics""",1
2006,"""5203 Clinical and Health Psychology""",1
2007,"""3003 Animal Production""",1
2007,"""3005 Fisheries Sciences""",1
2007,"""3006 Food Sciences""",3
2007,"""3008 Horticultural Production""",2
2007,"""3009 Veterinary Sciences""",1
2007,"""3101 Biochemistry and Cell Biology""",13
2007,"""3102 Bioinformatics and Computational Biology""",1
2007,"""3104 Evolutionary Biology""",2
2007,"""3105 Genetics""",6
2007,"""3107 Microbiology""",3
2007,"""3108 Plant Biology""",1
2007,"""3201 Cardiovascular Medicine and Haematology""",1
2007,"""3202 Clinical Sciences""",7
2007,"""3204 Immunology""",4
2007,"""3205 Medical Biochemistry and Metabolomics""",1
2007,"""3206 Medical Biotechnology""",3
2007,"""3207 Medical Microbiology""",2
2007,"""3208 Medical Physiology""",3
2007,"""3209 Neurosciences""",1
2007,"""3210 Nutrition and Dietetics""",2
2007,"""3211 Oncology and Carcinogenesis""",9
2007,"""3212 Ophthalmology and Optometry""",1
2007,"""3214 Pharmacology and Pharmaceutical Sciences""",1
2007,"""3215 Reproductive Medicine""",2
2007,"""3301 Architecture""",1
2007,"""3304 Urban and Regional Planning""",1
2007,"""3401 Analytical Chemistry""",1
2007,"""3402 Inorganic Chemistry""",1
2007,"""3403 Macromolecular and Materials Chemistry""",1
2007,"""3404 Medicinal and Biomolecular Chemistry""",1
2007,"""3405 Organic Chemistry""",1
2007,"""3406 Physical Chemistry""",2
2007,"""3407 Theoretical and Computational Chemistry""",1
2007,"""3501 Accounting, Auditing and Accountability""",1
2007,"""3502 Banking, Finance and Investment""",2
2007,"""3507 Strategy, Management and Organisational Behaviour""",3
2007,"""3509 Transportation, Logistics and Supply Chains""",2
2007,"""3601 Art History, Theory and Criticism""",1
2007,"""3604 Performing Arts""",1
2007,"""3706 Geophysics""",1
2007,"""3707 Hydrology""",2
2007,"""3708 Oceanography""",1
2007,"""3801 Applied Economics""",2
2007,"""3901 Curriculum and Pedagogy""",2
2007,"""3902 Education Policy, Sociology and Philosophy""",1
2007,"""3903 Education Systems""",2
2007,"""4001 Aerospace Engineering""",1
2007,"""4003 Biomedical Engineering""",1
2007,"""4004 Chemical Engineering""",3
2007,"""4005 Civil Engineering""",2
2007,"""4006 Communications Engineering""",3
2007,"""4007 Control Engineering, Mechatronics and Robotics""",1
2007,"""4008 Electrical Engineering""",2
2007,"""4010 Engineering Practice and Education""",2
2007,"""4012 Fluid Mechanics and Thermal Engineering""",1
2007,"""4016 Materials Engineering""",2
2007,"""4018 Nanotechnology""",2
2007,"""4106 Soil Sciences""",1
2007,"""4203 Health Services and Systems""",1
2007,"""4302 Heritage, Archive and Museum Studies""",1
2007,"""4303 Historical Studies""",5
2007,"""4403 Demography""",2
2007,"""4408 Political Science""",2
2007,"""4602 Artificial Intelligence""",2
2007,"""4604 Cybersecurity and Privacy""",1
2007,"""4608 Human-Centred Computing""",1
2007,"""4612 Software Engineering""",1
2007,"""4613 Theory Of Computation""",2
2007,"""4701 Communication and Media Studies""",1
2007,"""4703 Language Studies""",1
2007,"""4704 Linguistics""",2
2007,"""4705 Literary Studies""",2
2007,"""4803 International and Comparative Law""",1
2007,"""4804 Law In Context""",1
2007,"""4805 Legal Systems""",1
2007,"""4807 Public Law""",1
2007,"""4901 Applied Mathematics""",3
2007,"""4903 Numerical and Computational Mathematics""",1
2007,"""4904 Pure Mathematics""",1
2007,"""5002 History and Philosophy Of Specific Fields""",2
2007,"""5003 Philosophy""",1
2007,"""5004 Religious Studies""",1
2007,"""5005 Theology""",1
2007,"""5104 Condensed Matter Physics""",1
2007,"""5106 Nuclear and Plasma Physics""",2
2007,"""5107 Particle and High Energy Physics""",2
2007,"""5108 Quantum Physics""",2
2007,"""5203 Clinical and Health Psychology""",2
2007,"""5204 Cognitive and Computational Psychology""",1
2008,"""3006 Food Sciences""",3
2008,"""3007 Forestry Sciences""",1
2008,"""3008 Horticultural Production""",2
2008,"""3009 Veterinary Sciences""",5
2008,"""3101 Biochemistry and Cell Biology""",8
2008,"""3103 Ecology""",4
2008,"""3104 Evolutionary Biology""",1
2008,"""3105 Genetics""",11
2008,"""3106 Industrial Biotechnology""",1
2008,"""3107 Microbiology""",4
2008,"""3108 Plant Biology""",1
2008,"""3201 Cardiovascular Medicine and Haematology""",1
2008,"""3202 Clinical Sciences""",6
2008,"""3203 Dentistry""",2
2008,"""3204 Immunology""",3
2008,"""3206 Medical Biotechnology""",2
2008,"""3207 Medical Microbiology""",3
2008,"""3208 Medical Physiology""",2
2008,"""3209 Neurosciences""",2
2008,"""3211 Oncology and Carcinogenesis""",7
2008,"""3214 Pharmacology and Pharmaceutical Sciences""",3
2008,"""3215 Reproductive Medicine""",2
2008,"""3301 Architecture""",2
2008,"""3303 Design""",2
2008,"""3304 Urban and Regional Planning""",1
2008,"""3402 Inorganic Chemistry""",3
2008,"""3403 Macromolecular and Materials Chemistry""",6
2008,"""3404 Medicinal and Biomolecular Chemistry""",5
2008,"""3405 Organic Chemistry""",1
2008,"""3406 Physical Chemistry""",1
2008,"""3501 Accounting, Auditing and Accountability""",1
2008,"""3502 Banking, Finance and Investment""",2
2008,"""3504 Commercial Services""",2
2008,"""3505 Human Resources and Industrial Relations""",1
2008,"""3506 Marketing""",1
2008,"""3507 Strategy, Management and Organisational Behaviour""",2
2008,"""3508 Tourism""",1
2008,"""3509 Transportation, Logistics and Supply Chains""",3
2008,"""3701 Atmospheric Sciences""",1
2008,"""3703 Geochemistry""",1
2008,"""3705 Geology""",4
2008,"""3707 Hydrology""",1
2008,"""3801 Applied Economics""",1
2008,"""3902 Education Policy, Sociology and Philosophy""",1
2008,"""4001 Aerospace Engineering""",1
2008,"""4003 Biomedical Engineering""",1
2008,"""4005 Civil Engineering""",3
2008,"""4006 Communications Engineering""",2
2008,"""4007 Control Engineering, Mechatronics and Robotics""",1
2008,"""4008 Electrical Engineering""",1
2008,"""4009 Electronics, Sensors and Digital Hardware""",2
2008,"""4010 Engineering Practice and Education""",1
2008,"""4012 Fluid Mechanics and Thermal Engineering""",1
2008,"""4014 Manufacturing Engineering""",1
2008,"""4016 Materials Engineering""",2
2008,"""4102 Ecological Applications""",1
2008,"""4105 Pollution and Contamination""",1
2008,"""4106 Soil Sciences""",1
2008,"""4201 Allied Health and Rehabilitation Science""",1
2008,"""4203 Health Services and Systems""",1
2008,"""4206 Public Health""",1
2008,"""4302 Heritage, Archive and Museum Studies""",1
2008,"""4303 Historical Studies""",5
2008,"""4403 Demography""",1
2008,"""4405 Gender Studies""",1
2008,"""4406 Human Geography""",2
2008,"""4407 Policy and Administration""",1
2008,"""4408 Political Science""",2
2008,"""4601 Applied Computing""",1
2008,"""4602 Artificial Intelligence""",1
2008,"""4605 Data Management and Data Science""",3
2008,"""4608 Human-Centred Computing""",3
2008,"""4613 Theory Of Computation""",1
2008,"""4701 Communication and Media Studies""",1
2008,"""4702 Cultural Studies""",1
2008,"""4705 Literary Studies""",4
2008,"""4801 Commercial Law""",1
2008,"""4802 Environmental and Resources Law""",2
2008,"""4803 International and Comparative Law""",1
2008,"""4804 Law In Context""",2
2008,"""4807 Public Law""",1
2008,"""4901 Applied Mathematics""",2
2008,"""4904 Pure Mathematics""",6
2008,"""4905 Statistics""",1
2008,"""5003 Philosophy""",2
2008,"""5104 Condensed Matter Physics""",1
2008,"""5106 Nuclear and Plasma Physics""",3
2008,"""5107 Particle and High Energy Physics""",2
2008,"""5202 Biological Psychology""",1
2008,"""5203 Clinical and Health Psychology""",1
2009,"""3006 Food Sciences""",2
2009,"""3008 Horticultural Production""",2
2009,"""3009 Veterinary Sciences""",2
2009,"""3101 Biochemistry and Cell Biology""",10
2009,"""3102 Bioinformatics and Computational Biology""",2
2009,"""3103 Ecology""",2
2009,"""3105 Genetics""",6
2009,"""3106 Industrial Biotechnology""",1
2009,"""3107 Microbiology""",2
2009,"""3108 Plant Biology""",1
2009,"""3201 Cardiovascular Medicine and Haematology""",1
2009,"""3202 Clinical Sciences""",5
2009,"""3203 Dentistry""",2
2009,"""3204 Immunology""",2
2009,"""3205 Medical Biochemistry and Metabolomics""",1
2009,"""3206 Medical Biotechnology""",2
2009,"""3207 Medical Microbiology""",2
2009,"""3209 Neurosciences""",1
2009,"""3211 Oncology and Carcinogenesis""",4
2009,"""3212 Ophthalmology and Optometry""",1
2009,"""3214 Pharmacology and Pharmaceutical Sciences""",4
2009,"""3301 Architecture""",4
2009,"""3303 Design""",2
2009,"""3304 Urban and Regional Planning""",2
2009,"""3402 Inorganic Chemistry""",2
2009,"""3403 Macromolecular and Materials Chemistry""",2
2009,"""3404 Medicinal and Biomolecular Chemistry""",1
2009,"""3405 Organic Chemistry""",1
2009,"""3501 Accounting, Auditing and Accountability""",1
2009,"""3502 Banking, Finance and Investment""",2
2009,"""3507 Strategy, Management and Organisational Behaviour""",1
2009,"""3703 Geochemistry""",1
2009,"""3705 Geology""",1
2009,"""3708 Oceanography""",1
2009,"""4001 Aerospace Engineering""",2
2009,"""4003 Biomedical Engineering""",3
2009,"""4004 Chemical Engineering""",1
2009,"""4005 Civil Engineering""",2
2009,"""4007 Control Engineering, Mechatronics and Robotics""",1
2009,"""4010 Engineering Practice and Education""",1
2009,"""4011 Environmental Engineering""",1
2009,"""4012 Fluid Mechanics and Thermal Engineering""",1
2009,"""4014 Manufacturing Engineering""",1
2009,"""4016 Materials Engineering""",3
2009,"""4017 Mechanical Engineering""",1
2009,"""4102 Ecological Applications""",1
2009,"""4203 Health Services and Systems""",1
2009,"""4301 Archaeology""",1
2009,"""4302 Heritage, Archive and Museum Studies""",1
2009,"""4303 Historical Studies""",2
2009,"""4406 Human Geography""",3
2009,"""4408 Political Science""",2
2009,"""4608 Human-Centred Computing""",1
2009,"""4705 Literary Studies""",1
2009,"""4804 Law In Context""",1
2009,"""4806 Private Law and Civil Obligations""",1
2009,"""4901 Applied Mathematics""",2
2009,"""4902 Mathematical Physics""",1
2009,"""5002 History and Philosophy Of Specific Fields""",1
2009,"""5004 Religious Studies""",1
2009,"""5101 Astronomical Sciences""",1
2009,"""5106 Nuclear and Plasma Physics""",3
2009,"""5110 Synchrotrons and Accelerators""",3
2009,"""5202 Biological Psychology""",2
2010,"""3101 Biochemistry and Cell Biology""",6
2010,"""3105 Genetics""",3
2010,"""3106 Industrial Biotechnology""",1
2010,"""3107 Microbiology""",3
2010,"""3204 Immunology""",2
2010,"""3205 Medical Biochemistry and Metabolomics""",1
2010,"""3206 Medical Biotechnology""",3
2010,"""3207 Medical Microbiology""",1
2010,"""3211 Oncology and Carcinogenesis""",2
2010,"""3215 Reproductive Medicine""",1
2010,"""3301 Architecture""",2
2010,"""3303 Design""",2
2010,"""3304 Urban and Regional Planning""",1
2010,"""3403 Macromolecular and Materials Chemistry""",3
2010,"""3404 Medicinal and Biomolecular Chemistry""",2
2010,"""3504 Commercial Services""",1
2010,"""3701 Atmospheric Sciences""",1
2010,"""3703 Geochemistry""",3
2010,"""3705 Geology""",3
2010,"""3706 Geophysics""",2
2010,"""3707 Hydrology""",1
2010,"""3801 Applied Economics""",2
2010,"""3901 Curriculum and Pedagogy""",1
2010,"""3903 Education Systems""",1
2010,"""3904 Specialist Studies In Education""",1
2010,"""4001 Aerospace Engineering""",1
2010,"""4005 Civil Engineering""",1
2010,"""4007 Control Engineering, Mechatronics and Robotics""",1
2010,"""4009 Electronics, Sensors and Digital Hardware""",1
2010,"""4010 Engineering Practice and Education""",1
2010,"""4012 Fluid Mechanics and Thermal Engineering""",1
2010,"""4016 Materials Engineering""",4
2010,"""4018 Nanotechnology""",1
2010,"""4102 Ecological Applications""",1
2010,"""4104 Environmental Management""",2
2010,"""4105 Pollution and Contamination""",1
2010,"""4106 Soil Sciences""",2
2010,"""4302 Heritage, Archive and Museum Studies""",2
2010,"""4303 Historical Studies""",4
2010,"""4401 Anthropology""",1
2010,"""4402 Criminology""",1
2010,"""4404 Development Studies""",1
2010,"""4406 Human Geography""",1
2010,"""4407 Policy and Administration""",2
2010,"""4408 Political Science""",1
2010,"""4410 Sociology""",1
2010,"""4602 Artificial Intelligence""",1
2010,"""4604 Cybersecurity and Privacy""",1
2010,"""4606 Distributed Computing and Systems Software""",2
2010,"""4608 Human-Centred Computing""",1
2010,"""4610 Library and Information Studies""",1
2010,"""4613 Theory Of Computation""",1
2010,"""4701 Communication and Media Studies""",1
2010,"""4702 Cultural Studies""",2
2010,"""4705 Literary Studies""",1
2010,"""4805 Legal Systems""",1
2010,"""5002 History and Philosophy Of Specific Fields""",1
2010,"""5102 Atomic, Molecular and Optical Physics""",2
2010,"""5106 Nuclear and Plasma Physics""",4
2010,"""5107 Particle and High Energy Physics""",2
2010,"""5108 Quantum Physics""",1
2010,"""5109 Space Sciences""",1
2010,"""5110 Synchrotrons and Accelerators""",1
2011,"""3004 Crop and Pasture Production""",1
2011,"""3006 Food Sciences""",2
2011,"""3106 Industrial Biotechnology""",2
2011,"""3202 Clinical Sciences""",1
2011,"""3208 Medical Physiology""",1
2011,"""3302 Building""",2
2011,"""3304 Urban and Regional Planning""",1
2011,"""3403 Macromolecular and Materials Chemistry""",3
2011,"""3509 Transportation, Logistics and Supply Chains""",1
2011,"""3604 Performing Arts""",1
2011,"""3901 Curriculum and Pedagogy""",1
2011,"""3903 Education Systems""",1
2011,"""4001 Aerospace Engineering""",1
2011,"""4005 Civil Engineering""",3
2011,"""4007 Control Engineering, Mechatronics and Robotics""",1
2011,"""4014 Manufacturing Engineering""",1
2011,"""4016 Materials Engineering""",2
2011,"""4018 Nanotechnology""",2
2011,"""4104 Environmental Management""",1
2011,"""4201 Allied Health and Rehabilitation Science""",1
2011,"""4303 Historical Studies""",1
2011,"""4602 Artificial Intelligence""",2
2011,"""4605 Data Management and Data Science""",1
2011,"""4606 Distributed Computing and Systems Software""",1
2011,"""4608 Human-Centred Computing""",1
2011,"""4610 Library and Information Studies""",1
2011,"""4705 Literary Studies""",1
2011,"""4803 International and Comparative Law""",1
2012,"""3002 Agriculture, Land and Farm Management""",1
2012,"""3004 Crop and Pasture Production""",2
2012,"""3006 Food Sciences""",2
2012,"""3008 Horticultural Production""",1
2012,"""3009 Veterinary Sciences""",1
2012,"""3102 Bioinformatics and Computational Biology""",1
2012,"""3103 Ecology""",1
2012,"""3105 Genetics""",5
2012,"""3106 Industrial Biotechnology""",2
2012,"""3107 Microbiology""",1
2012,"""3108 Plant Biology""",1
2012,"""3202 Clinical Sciences""",2
2012,"""3205 Medical Biochemistry and Metabolomics""",2
2012,"""3206 Medical Biotechnology""",2
2012,"""3208 Medical Physiology""",1
2012,"""3209 Neurosciences""",1
2012,"""3210 Nutrition and Dietetics""",1
2012,"""3211 Oncology and Carcinogenesis""",2
2012,"""3214 Pharmacology and Pharmaceutical Sciences""",2
2012,"""3301 Architecture""",1
2012,"""3302 Building""",2
2012,"""3401 Analytical Chemistry""",1
2012,"""3403 Macromolecular and Materials Chemistry""",2
2012,"""3404 Medicinal and Biomolecular Chemistry""",1
2012,"""3405 Organic Chemistry""",1
2012,"""3406 Physical Chemistry""",2
2012,"""3502 Banking, Finance and Investment""",2
2012,"""3505 Human Resources and Industrial Relations""",1
2012,"""3507 Strategy, Management and Organisational Behaviour""",1
2012,"""3703 Geochemistry""",1
2012,"""3704 Geoinformatics""",1
2012,"""3705 Geology""",1
2012,"""3706 Geophysics""",1
2012,"""3801 Applied Economics""",2
2012,"""4003 Biomedical Engineering""",2
2012,"""4005 Civil Engineering""",1
2012,"""4009 Electronics, Sensors and Digital Hardware""",1
2012,"""4203 Health Services and Systems""",1
2012,"""4206 Public Health""",1
2012,"""4207 Sports Science and Exercise""",1
2012,"""4901 Applied Mathematics""",2
2012,"""4904 Pure Mathematics""",2
2012,"""5002 History and Philosophy Of Specific Fields""",1
2012,"""5101 Astronomical Sciences""",1
2012,"""5106 Nuclear and Plasma Physics""",1
2012,"""5107 Particle and High Energy Physics""",1
2012,"""5110 Synchrotrons and Accelerators""",1
2012,"""5202 Biological Psychology""",1
2013,"""3101 Biochemistry and Cell Biology""",1
2013,"""3105 Genetics""",1
2013,"""3106 Industrial Biotechnology""",2
2013,"""3107 Microbiology""",1
2013,"""3204 Immunology""",2
2013,"""3207 Medical Microbiology""",2
2013,"""3210 Nutrition and Dietetics""",1
2013,"""3301 Architecture""",1
2013,"""3302 Building""",1
2013,"""3403 Macromolecular and Materials Chemistry""",4
2013,"""3406 Physical Chemistry""",1
2013,"""3502 Banking, Finance and Investment""",1
2013,"""3507 Strategy, Management and Organisational Behaviour""",1
2013,"""3603 Music""",2
2013,"""3901 Curriculum and Pedagogy""",1
2013,"""3903 Education Systems""",1
2013,"""4005 Civil Engineering""",1
2013,"""4014 Manufacturing Engineering""",1
2013,"""4016 Materials Engineering""",2
2013,"""4102 Ecological Applications""",1
2013,"""4405 Gender Studies""",1
2013,"""4407 Policy and Administration""",1
2013,"""4602 Artificial Intelligence""",1
2013,"""4610 Library and Information Studies""",1
2013,"""4612 Software Engineering""",1
2013,"""4702 Cultural Studies""",1
2013,"""4705 Literary Studies""",1
2014,"""3002 Agriculture, Land and Farm Management""",2
2014,"""3004 Crop and Pasture Production""",2
2014,"""3101 Biochemistry and Cell Biology""",1
2014,"""3102 Bioinformatics and Computational Biology""",1
2014,"""3105 Genetics""",3
2014,"""3302 Building""",1
2014,"""3902 Education Policy, Sociology and Philosophy""",1
2014,"""3903 Education Systems""",2
2014,"""4001 Aerospace Engineering""",2
2014,"""4010 Engineering Practice and Education""",1
2014,"""4014 Manufacturing Engineering""",1
2014,"""4101 Climate Change Impacts and Adaptation""",1
2014,"""4104 Environmental Management""",1
2014,"""4203 Health Services and Systems""",2
2014,"""4604 Cybersecurity and Privacy""",1
2014,"""4605 Data Management and Data Science""",2
2014,"""4606 Distributed Computing and Systems Software""",1
2014,"""4609 Information Systems""",1
2014,"""4610 Library and Information Studies""",1
2014,"""4901 Applied Mathematics""",1
2014,"""4903 Numerical and Computational Mathematics""",1
2015,"""3003 Animal Production""",1
2015,"""3006 Food Sciences""",1
2015,"""3008 Horticultural Production""",1
2015,"""3101 Biochemistry and Cell Biology""",3
2015,"""3103 Ecology""",1
2015,"""3105 Genetics""",5
2015,"""3202 Clinical Sciences""",3
2015,"""3204 Immunology""",3
2015,"""3205 Medical Biochemistry and Metabolomics""",1
2015,"""3206 Medical Biotechnology""",1
2015,"""3207 Medical Microbiology""",1
2015,"""3208 Medical Physiology""",4
2015,"""3211 Oncology and Carcinogenesis""",5
2015,"""3212 Ophthalmology and Optometry""",1
2015,"""3213 Paediatrics""",1
2015,"""3214 Pharmacology and Pharmaceutical Sciences""",3
2015,"""3302 Building""",1
2015,"""3403 Macromolecular and Materials Chemistry""",2
2015,"""3404 Medicinal and Biomolecular Chemistry""",2
2015,"""3406 Physical Chemistry""",1
2015,"""3507 Strategy, Management and Organisational Behaviour""",1
2015,"""3601 Art History, Theory and Criticism""",1
2015,"""3702 Climate Change Science""",1
2015,"""3703 Geochemistry""",1
2015,"""3705 Geology""",3
2015,"""3706 Geophysics""",1
2015,"""3707 Hydrology""",1
2015,"""3709 Physical Geography and Environmental Geoscience""",1
2015,"""3801 Applied Economics""",2
2015,"""3903 Education Systems""",1
2015,"""4001 Aerospace Engineering""",1
2015,"""4005 Civil Engineering""",1
2015,"""4008 Electrical Engineering""",2
2015,"""4016 Materials Engineering""",2
2015,"""4019 Resources Engineering and Extractive Metallurgy""",1
2015,"""4101 Climate Change Impacts and Adaptation""",1
2015,"""4203 Health Services and Systems""",2
2015,"""4206 Public Health""",1
2015,"""4302 Heritage, Archive and Museum Studies""",5
2015,"""4303 Historical Studies""",7
2015,"""4403 Demography""",1
2015,"""4406 Human Geography""",1
2015,"""4407 Policy and Administration""",2
2015,"""4408 Political Science""",3
2015,"""4601 Applied Computing""",1
2015,"""4602 Artificial Intelligence""",2
2015,"""4604 Cybersecurity and Privacy""",1
2015,"""4608 Human-Centred Computing""",1
2015,"""4612 Software Engineering""",1
2015,"""4702 Cultural Studies""",1
2015,"""4703 Language Studies""",1
2015,"""4704 Linguistics""",2
2015,"""4705 Literary Studies""",4
2015,"""4807 Public Law""",1
2015,"""4901 Applied Mathematics""",1
2015,"""4903 Numerical and Computational Mathematics""",1
2015,"""4904 Pure Mathematics""",3
2015,"""5002 History and Philosophy Of Specific Fields""",2
2015,"""5102 Atomic, Molecular and Optical Physics""",1
2015,"""5105 Medical and Biological Physics""",1
2015,"""5106 Nuclear and Plasma Physics""",1
2015,"""5108 Quantum Physics""",2
2015,"""5110 Synchrotrons and Accelerators""",1
2015,"""5202 Biological Psychology""",1
2015,"""5204 Cognitive and Computational Psychology""",1
2016,"""3004 Crop and Pasture Production""",1
2016,"""3008 Horticultural Production""",1
2016,"""3102 Bioinformatics and Computational Biology""",1
2016,"""3105 Genetics""",1
2016,"""3106 Industrial Biotechnology""",2
2016,"""3107 Microbiology""",1
2016,"""3202 Clinical Sciences""",1
2016,"""3211 Oncology and Carcinogenesis""",1
2016,"""3403 Macromolecular and Materials Chemistry""",4
2016,"""3405 Organic Chemistry""",1
2016,"""3507 Strategy, Management and Organisational Behaviour""",1
2016,"""3708 Oceanography""",1
2016,"""4001 Aerospace Engineering""",2
2016,"""4002 Automotive Engineering""",1
2016,"""4005 Civil Engineering""",3
2016,"""4015 Maritime Engineering""",1
2016,"""4016 Materials Engineering""",3
2016,"""4017 Mechanical Engineering""",1
2016,"""4018 Nanotechnology""",1
2016,"""4104 Environmental Management""",2
2016,"""4203 Health Services and Systems""",2
2016,"""4301 Archaeology""",1
2016,"""4303 Historical Studies""",1
2016,"""4406 Human Geography""",1
2016,"""4602 Artificial Intelligence""",1
2016,"""4605 Data Management and Data Science""",1
2016,"""4802 Environmental and Resources Law""",1
2016,"""5102 Atomic, Molecular and Optical Physics""",1
2016,"""5104 Condensed Matter Physics""",1
2016,"""5108 Quantum Physics""",1
2016,"""5109 Space Sciences""",1
2016,"""5110 Synchrotrons and Accelerators""",1
2017,"""3001 Agricultural Biotechnology""",3
2017,"""3002 Agriculture, Land and Farm Management""",2
2017,"""3004 Crop and Pasture Production""",4
2017,"""3006 Food Sciences""",2
2017,"""3008 Horticultural Production""",3
2017,"""3101 Biochemistry and Cell Biology""",12
2017,"""3103 Ecology""",4
2017,"""3104 Evolutionary Biology""",2
2017,"""3105 Genetics""",1
2017,"""3106 Industrial Biotechnology""",1
2017,"""3107 Microbiology""",1
2017,"""3109 Zoology""",2
2017,"""3201 Cardiovascular Medicine and Haematology""",1
2017,"""3202 Clinical Sciences""",6
2017,"""3204 Immunology""",7
2017,"""3205 Medical Biochemistry and Metabolomics""",2
2017,"""3206 Medical Biotechnology""",5
2017,"""3207 Medical Microbiology""",2
2017,"""3208 Medical Physiology""",1
2017,"""3209 Neurosciences""",1
